"Rim diameter","Height"
11.1,5.5
9.5,4.8
20.8,9.5
19.5,8.8
15.5,9.8
11.7,3.8
10.8,3.5
15,11.8
18.5,10.5
11,5.8
9,5.8
9,7.4
12.1,6.4
10.7,6.3
19.5,10.8
20,10.6
18,9
19,8
24,7.7
15.2,3.5
13.2,3.5
29.5,9.5
12,4.8
10.1,4.3
22,8.3
29,10.8
9.8,4
8.7,6
19.1,11.3
10,6.4
10.5,6
9,5
18.5,9.8
19,8.5
18.3,8.3
18.5,8.5
17.2,8.3
9.5,6.3
9,6
19.5,9.1
11,4.3
15,5.5
8.5,3.8
19,14.3
10.1,5.3
11.5,3.3
9,3.6
10.5,5.8
11,5.4
19,10.8
8.8,3.8
9.5,4
13.3,8.3
8,6
8,6.6
15.8,11.1
8.4,5.3
12.9,5.7
13,8.2
6.6,4.1
